Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;Maakond;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Käive;Töötajate arv
75026106;RAE VALLAVALITSUS;Valitsus- ja riigiasutus;jah;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1333819,59;1438065,93;0,00;84,00
11039896;HONDA MOTOR EUROPE LTD EESTI FILIAAL;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1256622,54;56321,37;16649312,98;8,00
75021250;VIIMSI VALLAVALITSUS;Valitsus- ja riigiasutus;ei;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1025254,08;1102184,45;0,00;159,00
11277437;FUND EHITUS, OÜ;Äriühing;jah;Harju maakond;EHITUS;1028356,89;380713,10;14508574,61;58,00
10080431;SAINT-GOBAIN EHITUSTOOTED AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1175340,86;359283,20;9944584,59;60,00
10923792;AL MARE AUTO, OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1609520,36;88534,59;14606169,84;16,00
11515090;KW BRUUN BALTIC OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1195093,15;93313,51;21637218,15;17,00
10140133;CYBERNETICA AS;Äriühing;jah;Harju maakond;INFO JA SIDE;1097288,72;643921,19;2821858,59;121,00
10112941;HEKOTEK, AS;Äriühing;jah;Harju maakond;TÖÖTLEV TÖÖSTUS;1361080,14;582137,64;17157214,26;115,00
11070736;INCHCAPE MOTORS ESTONIA, OÜ;Äriühing;jah;Harju maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1402592,94;304599,37;12050939,50;68,00
10093801;YIT EHITUS, AS;Äriühing;jah;Harju maakond;EHITUS;1467799,18;391062,12;18163474,89;91,00
74000174;EESTI PANK;Valitsus- ja riigiasutus;jah;Harju maakond;FINANTS- JA KINDLUSTUSTEGEVUS;1529111,44;1486260,98;583509,30;346,00
74000101;RIIGIKOGU KANTSELEI;Valitsus- ja riigiasutus;jah;Harju maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1382306,02;1440111,11;4572,91;342,00
11488826;DANSKE BANK A/S EESTI FILIAAL;Äriühing;jah;Harju maakond;FINANTS- JA KINDLUSTUSTEGEVUS;1427345,61;1499724,29;8137102,49;359,00
